書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1969年09月号,98,図解I/Oシリーズ⑤――ディスクパック装置
bit 1969年10月号,1,表紙
bit 1969年10月号,3,シミュレーション①――電力系統シミュレータ
bit 1969年10月号,9,目次
bit 1969年10月号,11,創造性のモラル……時実利彦
bit 1969年10月号,12,電子計算機とは⑧ 実行プログラムの内容(3)――機械は数式の意味をどのように翻訳し，理解するのだろうか……小野勝章，伊理正夫
bit 1969年10月号,19,アレフ・ゼロ
bit 1969年10月号,20,思い出……吉田健一
bit 1969年10月号,21,プログラミング入門⑧ くり返し演算――インデックス・レジスタのはたらきを知り，プログラムへ活用する……山本欣子
bit 1969年10月号,27,単語帖
bit 1969年10月号,28,イリアック物語③……加賀美鉄雄，赤木昭夫
bit 1969年10月号,37,EDPすぽっと――地方公共団体コード……自治省
bit 1969年10月号,38,数値解析覚え帖① 数値積分法――コンピュータ・サイドから見た数値解析の四方山ばなし……一松信
bit 1969年10月号,42,ドクタービット
bit 1969年10月号,45,COBOL――その生い立ちと現在……保坂岩男
bit 1969年10月号,50,ぶっくす
bit 1969年10月号,52,コンピュータ・ニュース
bit 1969年10月号,54,ナノピコ教室課外問題
bit 1969年10月号,56,SCIENTIFlC APPLICATIONS⑤――物理学におけるコンピュータ利用……飯坂譲二
bit 1969年10月号,65,論理設計⑧ 非同期回路――ハザードのない信頼度の高い回路を設計するには・・・・・・(中級向)……萩原宏，奥川俊二
bit 1969年10月号,73,数のふしぎ――整数の一性質について……島内剛一
bit 1969年10月号,74,読者の広場
bit 1969年10月号,76,PL/I⑧ 式と計算――二項演算子やSIGN，POLYなどの常設関数の話(中級向)……久保宏志
bit 1969年10月号,84,コンピュータ紹介――CDC3500，3300計算機システム
bit 1969年10月号,86,図解I/Oシリーズ⑥――磁気ドラム装置
bit 1969年10月号,88,IR(情報検索)入門……手塚慶一，鶴身征雄
bit 1969年10月号,96,マンガ・ルポ ソフトくん・ハードさん――鹿島建設の巻
bit 1969年10月号,100,ナノピコ教室(7月号)……一松信 京都大学数理解析研究所
bit 1969年11月号,1,表紙
bit 1969年11月号,3,シミュレーション②――フライト・シミュレータ
bit 1969年11月号,9,目次
bit 1969年11月号,11,素人評論……正田建次郎
bit 1969年11月号,12,連載 電子計算機とは⑨計算機システム論(1)――電子計算機は，単能な機械とは違って，有機的なシステムである……小野勝章，伊理正夫
bit 1969年11月号,18,恥と笑い……星新一
bit 1969年11月号,19,プログラミング入門⑨くり返し演算(2)並べかえ，多項式などの具体例により，Indの使い方を会得する……山本欣子
bit 1969年11月号,25,よみもの オートマトンのはなし……赤摂也
bit 1969年11月号,33,アレフ・ゼロ
bit 1969年11月号,34,アレ・アレ・シスタ……野崎昭弘
bit 1969年11月号,36,ファームウェアとはなにか……金田佳郎，小杉忠嗣
bit 1969年11月号,42,ぶっくす
bit 1969年11月号,44,単語帖
bit 1969年11月号,47,数値解析覚え帖② ニュートン法――1変数および多変数の逐次代入法と，その誤差解析の話題から……一松信
bit 1969年11月号,51,ドクタービット
bit 1969年11月号,52,SCIENTIFIC APPLICATIONS(完)――これからの研究とコンピュータ……飯坂譲二
bit 1969年11月号,60,記号人間……沼田望
bit 1969年11月号,62,EDPすぽっと――MCCニュース
bit 1969年11月号,65,COBOL――その生い立ちと現在(続)……保坂岩男
bit 1969年11月号,69,読者の広場
bit 1969年11月号,70,ナノピコ教室課外問題
bit 1969年11月号,72,PL/I⑨ ストリング処理――文字やビット列の走査・抽出・置きかえ・組立てなど・・・・・・(中級向)……久保宏志
bit 1969年11月号,83,グラビア解説――飛行シミュレータ……堀川勇壮
bit 1969年11月号,87,ナノピコ教室(8月号)……Dr.bit
bit 1969年11月号,88,コンピュータ・ニュース
bit 1969年11月号,90,新しいCAI言語……犬伏茂之
bit 1969年11月号,96,コンピュータ紹介――IBMシステム/3
bit 1969年11月号,98,図解I/Oシリーズ⑦――光学文字読取装置
bit 1969年11月号,100,ソフトくん・ハードさん――電通の巻
bit 1969年11月号,102,懸賞論文募集
bit 1969年12月号,1,表紙
bit 1969年12月号,3,シミュレーション③――道路環境シミュレータ
bit 1969年12月号,9,目次
bit 1969年12月号,11,「記憶」とは何だろう……赤堀四郎
bit 1969年12月号,12,電子計算機とは⑩ 計算機システム論(2)――戦国時代から統制管理時代――計算機史の一ページ……小野勝章，伊理正夫
bit 1969年12月号,19,コンピューターと英語……岩田一男
bit 1969年12月号,20,単語帖
bit 1969年12月号,21,プログラミング入門⑩ 文字の入出力――アルファニューメリックの入出力とシフト命令の有効な利用……山本欣子
bit 1969年12月号,32,アレフ・ゼロ
bit 1969年12月号,33,よみもの イリアック物語(完)……加賀美鉄雄，赤木昭夫
bit 1969年12月号,47,数値解析覚え帖③ 数値解析の二，三の問題点――数値解析学者はどこへゆく? 教科書には書けない裏ばなし……一松信
bit 1969年12月号,51,ドクタービット
bit 1969年12月号,52,×3+1)÷2のはなし……米田信夫
bit 1969年12月号,54,コンピュータくんの手習い……高澤嘉光
bit 1969年12月号,59,これでもいいのか，ニャロメ――64%がまちがっていた?……Programmetheus
bit 1969年12月号,67,読者の広場
bit 1969年12月号,70,バイオニクス――新しい工学の課題……佐藤俊輔
bit 1969年12月号,76,ぶっくす
bit 1969年12月号,78,コンピュータ・サイエンス・フィクション(CSF)選
bit 1969年12月号,80,地球の神様.....加藤允宏
bit 1969年12月号,82,ナノピコ教室
bit 1969年12月号,85,ナノピコ教室解答(9月号)
bit 1969年12月号,86,コンピュータ・ニュース
bit 1969年12月号,88,PL/I⑩ リスト処理――いわゆるリスト処理言語とPL/Iとを比べると(中級向)……久保宏志
bit 1969年12月号,94,コンピュータ紹介――UNIVAC 1106
bit 1969年12月号,96,図解I/Oシリーズ⑧――光学マーク読取装置
bit 1969年12月号,98,マンガ・ルポ ソフトくん・ハードさん――富士写真フィルムの巻
bit 1970年01月号,1,表紙
bit 1970年01月号,3,情報化社会'70 “顔”
bit 1970年01月号,9,目次
bit 1970年01月号,11,馬鹿さと脂肪……水島三一郎
bit 1970年01月号,12,電子計算機とは⑪ 図形処理(1)――プロックとディスプレイによる図形処理のいろいろ…………高澤嘉光，小野勝章
bit 1970年01月号,18,コンピューターと根性……三枝佐枝子
bit 1970年01月号,19,単語帖
bit 1970年01月号,20,プログラミング入門⑪ サブルーチン(1)――平方根，初等関数などのサブルーチンを活用して問題を解く……山本欣子
bit 1970年01月号,26,アレフ・ゼロ
bit 1970年01月号,27,光と情報……桜井健二郎
bit 1970年01月号,34,ぶっくす
bit 1970年01月号,36,高校におけるコンピュータ教育はどうあるべきか……柳成男，小暮佳男
bit 1970年01月号,45,数値解析覚え帖④収束の加速――亀さん型，泥沼型などの収束の型を知り，極限値を求める……一松信
bit 1970年01月号,51,第三の通信――データ通信の現状と将来……小関重美
bit 1970年01月号,58,コンピュータ・ナンセンス――コンピュートピア
bit 1970年01月号,60,ナノピコ教室
bit 1970年01月号,63,プログラマーのための統計入門① 確率論入門(1)――情報処理技術者が必要とする統計の知識をわかりやすく解説……門山允
bit 1970年01月号,69,EPDすぽっと――GRAPHICATION
bit 1970年01月号,70,本物はどうだ? ニャロメ――第1回情報処理技術者認定試験をめぐって
bit 1970年01月号,78,ドクタービット
bit 1970年01月号,81,PL/I⑪ 割込みと非同期処理――作業への割込み，装置の同時動作などはどう行なわれるか(中級向)……久保宏志
bit 1970年01月号,88,百人一首とコンピュータ……松山辰郎，阿部行信
bit 1970年01月号,90,コンピュータ・ニュース
bit 1970年01月号,92,コンピュータ紹介――GE-600システム
bit 1970年01月号,96,読者の広場
bit 1970年01月号,98,図解I/Oシリーズ⑨――キャラクタ・ディスプレイ装置
bit 1970年02月号,1,表紙
bit 1970年02月号,9,目次
bit 1970年02月号,3,対話形式で実験する――東京医科歯科大学のLINC-8
bit 1970年02月号,11,研究室から……勝木保次
bit 1970年02月号,12,電子計算機とは⑫ 図形処理(2)――平面図形の処理から立体図形の処理へ。ディスプレイの機能は広がる……高澤嘉光，小野勝章
bit 1970年02月号,19,キツネ……長新太
bit 1970年02月号,20,プログラミング入門⑫ サブルーチン(2)――サブルーチン・ライブラリやアプリケーション・パッケージのこと……山本欣子
bit 1970年02月号,27,グラフィック・ディスプレイ……山口富士夫
bit 1970年02月号,35,PL/I(完)最適化――最適化とは何か。それを実現するための言語上の問題点を知る(中級向)……久保宏志
bit 1970年02月号,42,単語帖
bit 1970年02月号,45,数値解析覚え帖⑤ 不安定性(1)――長い反復計算に現われる数値的不安定をどう処理したらよいか……一松信
bit 1970年02月号,49,データ通信とCOBOL……西村恕彦
bit 1970年02月号,56,コンピュータ・ナンセンス――コン・ペット
bit 1970年02月号,58,黒い計算機と白い計算機……aSk
bit 1970年02月号,60,ドクタービット
bit 1970年02月号,63,プログラマーのための統計入門② 確率論入門(2)――連続な変量の分布や統計量を考えるために，確率の考えを拡張する……門山允
bit 1970年02月号,69,EDPすぽっと――学際
bit 1970年02月号,70,コンピュータと詰碁……浜島博臣，池田敏雄
bit 1970年02月号,72,ヴィジュアル・デザイン……吉積健
bit 1970年02月号,76,ぶっくす
bit 1970年02月号,78,ナノピコ教室
bit 1970年02月号,81,初学者からみたプログラミング言語の問題点……戸島凞，清水川緋紗子
bit 1970年02月号,88,コンピュータ・ニュース
bit 1970年02月号,90,パビリオンの中で何が行なわれるか……編集部
bit 1970年02月号,94,読者の広場
bit 1970年02月号,96,図解I/Oシリーズ⑩――グラフィック・ディスプレイ装置
bit 1970年02月号,98,コンピュータ紹介――HITAC8000シリーズ
bit 1970年03月号,1,表紙
bit 1970年03月号,3,車の奔流をさばく――警視庁の広域交通信号制御システム
bit 1970年03月号,11,目次
bit 1970年03月号,13,コンピューターと数学……秋月康夫
bit 1970年03月号,14,電子計算機は⑬ ユーティリティと分類プログラム――SORT/MERGEを中心としたユーティリティやサポート・システムの話……小野勝章，伊理正夫
bit 1970年03月号,20,季節外れの旅……山田宗睦
bit 1970年03月号,21,プログラミング入門⑬ アセンブラのしくみ――プログムが計算機の中でどう処理されるか知るためのアセンブラ入門……山本欣子
bit 1970年03月号,31,言語情報処理の問題点……西村恕彦
bit 1970年03月号,39,動物と情報……玉重三男
bit 1970年03月号,45,ナノピコ教室
bit 1970年03月号,46,ナノピコ教室(12月号)……小野勝章
bit 1970年03月号,49,数理計画プログラム……反町洋一
bit 1970年03月号,55,数値解析覚え帖⑥ 不安定性(2)――数値的不定性をフィルタ(平滑子)によってとり除くには・・・・・・(中級向)……一松信
bit 1970年03月号,58,コンピュータ・ナンセンス――コン虫人間……ボオぬまた
bit 1970年03月号,60,駒のせゲーム……今飛雄太
bit 1970年03月号,62,ぶっくす
bit 1970年03月号,64,読者の広場
bit 1970年03月号,67,プログラマーのための統計入門③ 数理統計の基礎――確率論を終えた数理統計入門へ。種々の基礎統計量をはじめにとりあげる……門山允
bit 1970年03月号,72,コンピュータ・ニュース
bit 1970年03月号,74,海洋開発とコンピュータ……瀬川爾郎，高野健三
bit 1970年03月号,80,コンピュータ紹介――バロースB2500/B3500
bit 1970年03月号,82,ドクタービット
bit 1970年03月号,85,新連載 素子の話① エレクトロニクスの基礎(1)――エレクトロニクスの基礎から電子計算機の回路素子の話までを平易に説く……武藤時雄
bit 1970年03月号,91,EDPすぽっと――蟻塔
bit 1970年03月号,92,資料 略語ひとくち解説
bit 1970年04月号,1,表紙
bit 1970年04月号,3,新技術へのチャレンジ――東洋工業の全コントロール・システム
bit 1970年04月号,9,目次
bit 1970年04月号,11,未来を計算する……崎川範行
bit 1970年04月号,12,電子計算機とは⑭ アプリケーション・プログラム――GPSS，MPS，GSAPなどのアプリケーション・プログラムの話……小野勝章，伊理正夫
bit 1970年04月号,19,あと5年たったら……夏目通利
bit 1970年04月号,20,プログラミング入門⑭ 補助記憶装置の使い方――補助記憶装置の特徴を理解し，それらを効果的に使用方法を知る……山本欣子
bit 1970年04月号,26,アレフ・ゼロ
bit 1970年04月号,29,チャールズ・バベジ①――階差機関「諸国民の富」……赤木昭夫
bit 1970年04月号,35,プログラマーのための統計入門④ 多変量の確率分布――2項分布から多項分布へ。多変量解析の基礎の理解を深めよう……門山允
bit 1970年04月号,39,コンピュータ・ナンセンス――コン・プレックス
bit 1970年04月号,40,単語帖
bit 1970年04月号,43,計算機の中の宇宙……蓮茨霊運
bit 1970年04月号,49,ドクタービット
bit 1970年04月号,50,雑記帖 ソフトを売るのか喧嘩を売るのかaSk
bit 1970年04月号,52,コボル入門① 簡単な計算――コボルのほんとうの姿とは?ユニークな解説による基礎講座……西村恕彦，植村俊亮
bit 1970年04月号,61,数値解析覚え帖(完) 計算の手間――数値計算の演算回数を減らして，スピード・アップをはかる(中級向)……一松信
bit 1970年04月号,64,コンピュータ・ニュース
bit 1970年04月号,66,6174のふしぎ……近末睦男
bit 1970年04月号,68,ナノピコ教室
bit 1970年04月号,70,ナノピコ教室――(1月号)……小野勝章
bit 1970年04月号,71,素子の話② エレクトロニクスの基礎(2)――真空管中で電子はどのようにふるまうか。半導体物性の理解への第一歩……武藤時雄
bit 1970年04月号,79,ミニ・コンをつくって遊ぼう……福西悰竝
bit 1970年04月号,85,EDPすぽっと ――Decision
bit 1970年04月号,86,ぶっくす
bit 1970年04月号,88,コンピュータ紹介――Olivetti Programma101
bit 1970年04月号,90,プログラム・へた・じょうず……スパロー・グループ
bit 1970年05月号,1,表紙
bit 1970年05月号,3,紙の生命を制御する――王子製紙春日井工場の抄紙工程管理
bit 1970年05月号,9,目次
bit 1970年05月号,11,職業科学者……藤岡由夫
bit 1970年05月号,12,電子計算機とは(完)計算機にできないこと――計算機は無限の可能性を秘めている。だが，それは万能ということではない……伊理正夫，小野勝章
bit 1970年05月号,18,陶器……飛鳥田一雄
bit 1970年05月号,19,プログラミング入門(完) プログラムのデバッグ――筆者の貴重な体験がプログラムのデバッグに関する実践的知識を提供する……山本欣子
bit 1970年05月号,26,アレフ・ゼロ
bit 1970年05月号,29,チャールズ・バベジ②――階差機関から解析機関へ……赤木昭夫
bit 1970年05月号,35,コボル入門②合計と編集――コボルガ事務データ処理用標準プログラム言語であるといわれるわけは?……西村恕彦，植村俊亮
bit 1970年05月号,44,単語帖
bit 1970年05月号,47,プログラマーのための統計入門⑤ 推定の理論(1)――確率収束とはどういうことか。推定量の不偏性・最小分散性などについて……門山允
bit 1970年05月号,52,コンピュータ・ナンセンス――コン・コン・チキ……ボオぬまた
bit 1970年05月号,54,コーナーゲーム……池野信一
